SensorType,Px_pred,Py_pred,Vx_pred,Vy_pred,Px_meas,Py_meas,Px_gt,Py_gt,Vx_gt,Vy_gt,NIS
L,0,0,0,0,0.312243,0.58034,0.6,0.6,5.19994,0,0
R,0.683076,0.328171,2.12632,3.95202,0.862916,0.534212,0.859997,0.600045,5.19975,0.00179686,22.4068
L,1.15292,0.49412,2.2982,3.85431,1.17385,0.481073,1.11998,0.600225,5.19943,0.00538996,0.379216
R,1.29513,0.540522,4.1657,1.74095,0.969149,0.397513,1.37996,0.600629,5.19898,0.0107781,3.46904
L,1.55593,0.648762,4.33919,1.27213,1.65063,0.62469,1.6399,0.601347,5.19839,0.0179597,0.817145
R,1.82934,0.588105,4.35527,-1.4035,1.62331,0.499091,1.89982,0.60247,5.19766,0.0269323,2.5601
L,2.09543,0.572213,4.46223,-1.06589,2.18882,0.648739,2.1597,0.604086,5.19678,0.0376932,1.0681
R,2.31064,0.647559,4.78576,0.331676,1.96701,0.557116,2.41954,0.606284,5.19573,0.0502389,4.31633
L,2.57485,0.666971,4.8105,0.3684,2.65526,0.66598,2.67932,0.609155,5.1945,0.0645654,0.384743
R,2.84696,0.656211,5.01427,0.302596,2.92034,0.645898,2.93904,0.612786,5.19309,0.080668,1.67866
L,3.07724,0.663204,4.9961,0.338155,3.01222,0.637046,3.19869,0.617267,5.19147,0.0985415,0.280053
R,3.36941,0.564238,5.13045,-0.426974,3.56096,0.485311,3.45825,0.622686,5.18963,0.11818,3.12412
L,3.67693,0.459485,5.10636,-1.14089,3.89365,0.311793,3.71772,0.629131,5.18754,0.139576,4.11746
R,3.95498,0.559403,5.26578,-0.0893875,4.19786,0.698311,3.97708,0.636689,5.18519,0.162724,3.78203
L,4.23226,0.561997,5.2841,-0.0308793,4.30935,0.578564,4.23632,0.645449,5.18256,0.187614,0.337057
R,4.4913,0.607303,5.24538,0.257036,4.61908,0.68951,4.49542,0.655498,5.17962,0.214238,0.648871
